,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
355,Menongue,-14.6585,17.691,290.24,88,100,0.33,AO,1636775025
356,Rørvik,64.8621,11.2373,277.84,73,100,5.75,NO,1636775025
357,Nelson Bay,-32.7167,152.15,294.68,43,27,2.24,AU,1636775026
358,Moose Factory,51.2585,-80.6094,273.15,100,90,4.63,CA,1636775026
359,Mossendjo,-2.9506,12.7261,293.52,99,100,0.66,CG,1636775026
360,Bouar,5.934,15.596,291.31,91,99,0.64,CF,1636775027
361,Mormugao,15.4,73.8,299.74,74,40,2.57,IN,1636775027
362,Torbat-e Jām,35.244,60.6225,279.57,56,55,0.49,IR,1636775028
363,Saurimo,-9.6608,20.3916,291.25,89,99,0.58,AO,1636775028
364,Bukachacha,52.9833,116.9167,271.16,60,22,1.12,RU,1636775028
365,Oistins,13.0667,-59.5333,299.2,78,75,8.23,BB,1636775029
366,Sulangan,11.1373,123.7228,301.88,76,100,3.94,PH,1636775029
367,Mitú,1.1983,-70.1733,296.67,88,100,0.32,CO,1636775029
368,Ribnitz-Damgarten,54.25,12.4667,280.43,73,100,4.72,DE,1636774942
369,Camopi,3.1655,-52.3158,294.11,98,5,0.75,GF,1636775030
370,Concepción del Oro,24.6333,-101.4167,287.71,54,58,2.08,MX,1636775031
371,Lata,40.1629,-8.3327,278.38,76,18,1.67,PT,1636775031
372,Coração de Jesus,-16.6853,-44.365,292.55,95,100,2.0,BR,1636775031
373,Adrar,20.5022,-10.0711,295.34,48,80,2.58,MR,1636775032
374,Port Macquarie,-31.4333,152.9167,297.53,31,5,9.77,AU,1636775032
375,Komatipoort,-25.4332,31.9548,297.07,73,83,3.51,ZA,1636775033
376,Beira,-19.8436,34.8389,297.44,84,75,3.64,MZ,1636775033
377,Prince Rupert,54.3161,-130.3201,280.98,89,90,4.63,CA,1636774867
378,Saint-François,46.4154,3.9054,275.84,100,90,1.54,FR,1636775034
379,Fukuechō,32.6881,128.8419,288.35,63,75,2.57,JP,1636775034
380,Kampene,-3.6,26.6667,292.5,99,100,0.7,CD,1636775034
381,Forbes,-33.3833,148.0167,285.33,91,100,9.28,AU,1636775035
382,Saldanha,-33.0117,17.9442,290.3,86,12,6.1,ZA,1636775035
383,Norman Wells,65.282,-126.8329,259.17,78,90,7.72,CA,1636775036
384,Yangi Marg`ilon,40.4272,71.7189,276.83,70,66,0.0,UZ,1636775036
385,La Dorada,5.4478,-74.6631,295.63,96,67,0.52,CO,1636775036
386,Collie,-33.3667,116.15,292.58,29,40,3.99,AU,1636775037
387,Solnechnyy,50.7214,136.6319,272.13,66,25,1.47,RU,1636775037
388,Venice,27.0998,-82.4543,295.45,97,1,0.0,US,1636775038
389,Quatre Cocos,-20.2078,57.7625,298.76,70,68,3.74,MU,1636775038
390,San Quintín,30.4833,-115.95,294.32,40,59,1.89,MX,1636775038
391,Bosaso,11.2842,49.1816,298.67,67,62,2.2,SO,1636775039
392,Teruel,40.6667,-0.6667,280.13,93,29,2.05,ES,1636775039
393,Mairana,-18.1167,-63.9333,289.14,85,99,0.36,BO,1636775040
394,Kumul,42.8,93.45,274.51,40,0,2.22,CN,1636775040
395,Kajansi,0.2081,32.5222,293.53,85,81,0.93,UG,1636775040
396,Bayevo,53.2833,80.7667,273.43,70,100,5.59,RU,1636775041
397,Ambanja,-13.6833,48.45,298.11,81,31,0.92,MG,1636775041
398,Nālūt,30.3333,10.85,287.85,56,87,5.53,LY,1636775042
399,Gamboula,4.1178,15.1393,292.42,97,26,0.67,CF,1636775042
400,Mossamedes,-15.1961,12.1522,293.19,87,5,1.53,AO,1636775043
401,Watrous,51.6668,-105.4679,265.03,86,98,9.26,CA,1636775043
402,Cockburn Town,21.4612,-71.1419,300.7,79,10,6.61,TC,1636775044
403,Shahr-e Kord,32.3256,50.8644,274.02,75,0,2.06,IR,1636775044
404,Neiafu,-18.65,-173.9833,300.53,83,75,2.57,TO,1636775044
405,Tanete,-3.9443,119.7848,301.17,79,100,3.69,ID,1636775045
406,Mariinsk,56.2139,87.7472,273.93,97,100,6.59,RU,1636775045
407,Tarko-Sale,64.9225,77.785,260.88,95,99,5.75,RU,1636775045
408,São João da Ponte,-15.9292,-44.0078,292.81,95,100,0.81,BR,1636775046
409,Narsaq,60.9167,-46.05,267.27,67,100,2.96,GL,1636775046
410,Tura,25.5198,90.2201,297.06,53,30,0.24,IN,1636775047
411,Nelspruit,-25.4745,30.9703,294.31,68,27,2.06,ZA,1636775047
412,Platteville,42.7342,-90.4785,276.62,100,90,3.6,US,1636775048
413,Mayo,38.8876,-76.5119,285.34,91,1,0.0,US,1636775048
414,Jaciara,-15.9653,-54.9683,295.65,94,100,1.09,BR,1636775048
415,Orangeburg,33.4918,-80.8557,282.31,93,1,0.0,US,1636775049
416,Jefferson City,38.5767,-92.1735,277.24,52,90,5.36,US,1636775049
417,Cururupu,-1.8283,-44.8683,297.23,93,14,1.21,BR,1636775050
418,Severo-Kuril'sk,50.6789,156.125,279.02,94,100,3.7,RU,1636775050
419,Staryy Nadym,65.6118,72.6842,264.84,96,100,2.06,RU,1636775050
420,Port Augusta,-32.5,137.7667,291.32,40,95,4.14,AU,1636775051
421,Varna,43.2167,27.9167,283.39,93,90,1.03,BG,1636774866
422,Pangnirtung,66.1451,-65.7125,255.31,89,45,2.75,CA,1636775052
423,Zhigansk,66.7697,123.3711,249.16,95,100,2.58,RU,1636775052
424,Trenggalek,-8.05,111.7167,301.86,77,99,2.42,ID,1636775053
425,Bonavista,48.6499,-53.1147,274.88,68,71,6.9,CA,1636775053
426,Auki,-8.7676,160.7034,302.97,68,57,0.79,SB,1636775053
427,Anking,30.5092,117.0506,291.43,30,0,3.81,CN,1636775054
428,Correia Pinto,-27.5847,-50.3611,284.64,88,97,2.94,BR,1636775054
429,Brae,60.3964,-1.353,282.1,96,100,4.04,GB,1636775055
430,Hanna,51.6334,-111.9018,276.16,75,100,3.13,CA,1636775055
431,Puri,19.8,85.85,300.03,92,100,5.71,IN,1636774792
432,Coxim,-18.5067,-54.76,296.7,89,94,3.62,BR,1636775056
433,Marawi,7.9986,124.2928,297.95,79,84,1.81,PH,1636775056
434,Seoul,37.5683,126.9778,285.38,47,40,3.09,KR,1636775057
435,Santander,43.4647,-3.8044,286.18,92,90,0.89,ES,1636775057
436,Amasya,40.6533,35.8331,272.0,57,0,0.89,TR,1636775058
437,Bubaque,11.2833,-15.8333,301.32,68,100,4.29,GW,1636775058
438,Trivandrum,8.4833,76.9167,299.14,94,90,3.09,IN,1636774772
439,Tashtyp,52.7939,89.8983,275.53,74,98,4.59,RU,1636775058
440,Atambua,-9.1061,124.8925,301.06,75,100,1.35,ID,1636775059
441,Constitución,-35.3333,-72.4167,283.48,93,36,3.64,CL,1636775059
442,Goundam,16.4145,-3.6708,296.83,11,94,3.64,ML,1636775060
443,San Rafael del Sur,11.8485,-86.4384,297.69,74,3,5.19,NI,1636775060
444,Ghanzi,-21.5667,21.7833,296.29,36,86,3.18,BW,1636775060
445,Andapa,-14.65,49.65,294.58,85,32,0.13,MG,1636775061
446,Tvøroyri,61.5556,-6.8111,281.81,93,100,7.25,FO,1636775061
447,Visnes,59.3556,5.2242,283.83,71,75,4.12,NO,1636775062
448,Kachīry,53.0675,76.1036,271.99,72,100,5.5,KZ,1636775062
449,Walvis Bay,-22.9575,14.5053,288.2,94,18,2.57,NA,1636775062
450,Saint-Leu,-21.15,55.2833,301.46,74,14,1.54,RE,1636775063
451,Mathbaria,22.2876,89.9593,295.43,78,98,3.24,BD,1636775063
452,Raudeberg,61.9875,5.1352,281.52,76,99,1.64,NO,1636775064
453,Ashington,50.9331,-0.3909,284.92,74,37,1.34,GB,1636775064
454,Kruisfontein,-34.0033,24.7314,287.37,87,29,2.95,ZA,1636775064
455,Kattivākkam,13.2167,80.3167,302.2,93,100,0.83,IN,1636775065
456,Killybegs,54.6333,-8.45,282.84,87,99,4.53,IE,1636775065
457,Oktyabr'skiy,54.4815,53.471,270.84,96,100,2.9,RU,1636775065
458,Sungai Penuh,-2.0833,101.3833,297.91,59,100,1.55,ID,1636775066
459,Ginda,30.6945,78.4932,289.09,20,0,1.44,IN,1636775066
460,Alausí,-2.2,-78.8333,283.84,89,96,0.53,EC,1636775067
461,Le Port,-20.9373,55.2919,301.98,74,15,2.89,RE,1636775067
462,Padang,-0.9492,100.3543,303.18,63,68,2.21,ID,1636775067
463,Abū Zabad,12.35,29.25,296.09,22,4,3.55,SD,1636775068
464,Cocobeach,1.0002,9.5823,299.11,86,95,2.16,GA,1636775068
465,Anadyr,64.75,177.4833,266.43,92,90,1.79,RU,1636775069
466,Rūdbār,30.15,62.6,288.28,28,0,0.76,AF,1636775069
467,Acaraú,-2.8856,-40.12,299.23,80,6,4.39,BR,1636775069
468,Mehamn,71.0357,27.8492,269.61,91,100,8.07,NO,1636775070
469,Jiazi,22.8779,116.067,294.86,56,88,5.18,CN,1636775070
470,Katherine,-14.4667,132.2667,308.33,36,38,5.14,AU,1636775070
471,Damaturu,11.747,11.9608,295.99,16,0,1.49,NG,1636775071
472,Sirūr,18.8333,74.3833,298.61,54,67,4.06,IN,1636775071
473,Dogondoutchi,13.6393,4.0287,300.41,19,100,1.37,NE,1636775072
474,San Juan,-31.5375,-68.5364,298.43,49,6,9.65,AR,1636774922
475,Grand-Santi,4.25,-54.3833,295.28,99,14,0.92,GF,1636775072
476,Khani,41.9563,42.9566,270.91,57,21,2.08,GE,1636775073
477,Murdochville,48.9583,-65.5006,271.64,94,100,6.94,CA,1636775073
478,Calvinia,-31.4707,19.776,288.54,61,49,1.9,ZA,1636775074
479,Damietta,31.4165,31.8133,295.09,65,84,4.9,EG,1636775074
480,Campos Novos,-27.4017,-51.225,284.05,86,21,3.81,BR,1636775075
481,Vasai,19.47,72.8,302.2,36,75,2.08,IN,1636775075
482,Antsohihy,-14.8796,47.9875,299.31,75,8,1.57,MG,1636775075
483,Kirakira,-10.4544,161.9205,303.0,71,37,3.11,SB,1636775076
484,Smoky Lake,54.1169,-112.4686,269.57,86,97,2.57,CA,1636775076
485,Mount Isa,-20.7333,139.5,297.02,23,23,5.66,AU,1636775077
486,Fare,-16.7,-151.0167,298.98,66,30,4.84,PF,1636775077
487,Roquetas de Mar,36.7642,-2.6148,288.15,64,67,0.46,ES,1636775077
488,Mountain Home,43.133,-115.6912,284.14,100,40,1.54,US,1636775078
489,Ibanda,-2.7974,32.4746,292.84,84,33,0.55,TZ,1636775078
490,Tasco,5.9104,-72.78,284.65,96,100,1.16,CO,1636775079
491,Avera,33.194,-82.5271,285.11,44,0,2.74,US,1636775079
492,Vrangel',42.7297,133.0839,280.91,52,3,4.71,RU,1636775079
493,Port Blair,11.6667,92.75,300.17,89,75,3.09,IN,1636775080
494,Micheweni,-4.9667,39.8333,299.81,77,98,2.35,TZ,1636775080
495,Murwillumbah,-28.3167,153.4,301.0,25,0,8.23,AU,1636775081
496,Lepaterique,14.0667,-87.4667,289.93,95,20,2.85,HN,1636775081
497,Mana,5.6592,-53.7767,298.05,90,51,3.11,GF,1636775081
498,Kalmunai,7.4167,81.8167,301.84,72,47,1.28,LK,1636775082
499,Lesnoy,57.6198,63.0784,268.73,94,52,3.15,RU,1636775082
500,Northam,51.0333,-4.2167,285.71,87,100,7.38,GB,1636775083
501,Aswān,24.0934,32.907,293.76,83,40,2.57,EG,1636775083
502,Marabu,4.4148,114.0089,303.23,70,40,1.54,MY,1636775083
503,Turaif,31.6725,38.6637,281.29,46,0,4.12,SA,1636775084
504,Kerrville,30.0474,-99.1403,288.5,64,1,0.45,US,1636774793
505,Haines Junction,60.7522,-137.5108,266.12,68,100,2.06,CA,1636775084
506,Klyuchi,52.2667,79.1667,273.32,61,87,5.8,RU,1636775085
507,Whyalla,-33.0333,137.5833,288.09,77,75,2.06,AU,1636775085
508,Honningsvåg,70.9821,25.9704,273.71,77,100,11.87,NO,1636775086
509,Cabedelo,-6.9811,-34.8339,297.52,81,96,5.01,BR,1636775086
510,Amlapura,-8.45,115.6167,301.64,68,100,3.88,ID,1636775086
511,Belyy Yar,53.6039,91.3903,277.09,62,0,6.0,RU,1636775087
512,Kimberley,-28.7323,24.7623,285.98,54,0,1.54,ZA,1636775087
513,Honāvar,14.2833,74.45,299.74,80,99,2.24,IN,1636775087
514,Port Hardy,50.6996,-127.4199,282.15,93,75,2.06,CA,1636775088
515,Nagato,34.3833,131.2,288.12,52,6,5.3,JP,1636775088
516,Okhotsk,59.3833,143.3,273.91,100,100,3.38,RU,1636775089
517,Prado,-17.3411,-39.2208,294.42,94,100,7.5,BR,1636775089
518,Sisimiut,66.9395,-53.6735,262.77,86,98,3.79,GL,1636775089
519,Tymovskoye,50.8456,142.655,273.28,86,100,2.24,RU,1636775090
520,Road Town,18.4167,-64.6167,300.37,76,99,9.42,VG,1636775090
521,Ankazobe,-18.3167,47.1167,292.38,65,84,1.43,MG,1636775091
522,Anshun,26.25,105.9333,279.73,71,100,1.33,CN,1636775091
523,Zhezkazgan,47.8043,67.7144,269.61,46,63,3.65,KZ,1636775091
524,Tema,5.667,-0.0166,299.38,94,0,2.06,GH,1636775092
525,Charlottesville,38.0293,-78.4767,284.05,74,1,0.0,US,1636774444
526,Ginir,7.1333,40.7,289.11,74,79,0.62,ET,1636775092
527,Karpathos,35.507,27.2132,291.13,72,9,1.03,GR,1636775093
528,Teahupoo,-17.8333,-149.2667,297.89,66,35,4.95,PF,1636775093
529,Tombouctou,20.0,-3.0,295.39,12,100,3.26,ML,1636775093
530,Oxílithos,38.5833,24.1167,284.11,76,29,2.77,GR,1636775094
531,Yeysk,46.6989,38.2792,279.79,78,0,3.72,RU,1636775094
532,Novikovo,51.1537,37.8879,274.54,92,59,4.53,RU,1636775095
533,Khovd,48.0056,91.6419,275.38,18,65,2.25,MN,1636775095
534,Havre-St-Pierre,50.2334,-63.5986,275.15,80,90,5.14,CA,1636775096
535,Leh,34.1667,77.5833,267.99,45,1,0.56,IN,1636775096
536,Acarí,-15.4311,-74.6158,292.87,73,100,1.48,PE,1636775096
537,Ligayan,4.6533,119.4706,300.96,78,100,4.15,PH,1636775097
538,Angoche,-16.2325,39.9086,299.35,83,49,1.94,MZ,1636775097
539,Kangaatsiaq,68.3065,-53.4641,263.08,90,100,3.77,GL,1636775097
540,Peleduy,59.6289,112.7406,261.88,86,58,0.78,RU,1636775098
541,Marystown,47.1666,-55.1483,274.74,100,44,0.84,CA,1636775099
542,Ciudad General Terán,25.2667,-99.6833,296.26,67,100,1.11,MX,1636775099
543,Magadan,59.5667,150.8,275.67,97,100,9.15,RU,1636775100
544,Dārāb,28.7519,54.5444,289.83,46,2,1.65,IR,1636775100
545,Imbituba,-28.24,-48.6703,291.38,84,100,2.89,BR,1636775101
546,Coruripe,-10.1256,-36.1756,297.79,87,47,4.06,BR,1636775101
547,Debre Tabor,11.85,38.0167,282.85,82,20,1.82,ET,1636775101
548,Arrifes,37.7667,-25.7,293.29,68,40,7.2,PT,1636775102
549,Bajil,15.0584,43.2851,299.73,58,24,0.93,YE,1636775102
550,Bulgan,48.8125,103.5347,274.53,27,78,1.1,MN,1636775103
551,Paamiut,61.994,-49.6678,262.34,68,0,3.92,GL,1636775103
552,Sainte-Suzanne,-20.9061,55.6089,302.1,69,0,5.66,RE,1636775104
553,Areia Branca,-4.9561,-37.1369,298.69,83,24,6.11,BR,1636775104
554,Praia,14.9215,-23.5087,296.45,78,20,4.63,CV,1636775105
555,Tarakan,3.3,117.6333,298.87,89,75,2.06,ID,1636775105
556,Sabang,5.8933,95.3214,301.01,75,99,7.81,ID,1636775106
557,Blackwater,-23.5833,148.8833,300.71,22,0,7.46,AU,1636775106
558,Sumoto,34.35,134.9,289.18,10,53,25.93,JP,1636775107
559,Āsbe Teferī,9.0833,40.8667,290.62,59,100,0.92,ET,1636775107
